Date,Open,High,Low,Close,Adj Close,Volume,Currency
03-08-18,412.566986,420.549011,399.910004,418.261993,418.261993,1722340000,Ethereum
04-08-18,418.237,420.186005,403.776001,407.252014,407.252014,1466540000,Ethereum
05-08-18,407.346008,413.716003,402.432007,410.515991,410.515991,1396820000,Ethereum
06-08-18,410.566986,414.540009,403.315002,406.65799,406.65799,1384880000,Ethereum
07-08-18,406.800995,411.404999,376.076996,380.214996,380.214996,1828350000,Ethereum
08-08-18,379.891998,380.67099,353.734009,356.613007,356.613007,2016080000,Ethereum
09-08-18,356.971008,370.946014,353.614014,365.588013,365.588013,1616610000,Ethereum
10-08-18,365.776001,367.045013,329.585999,334.175995,334.175995,1699400000,Ethereum
11-08-18,334.264008,334.264008,308.488007,322.112,322.112,1790370000,Ethereum
12-08-18,320.822998,328.589996,318.60199,319.570007,319.570007,1625420000,Ethereum
13-08-18,320.209991,323.550995,284.93399,286.494995,286.494995,1751190000,Ethereum
14-08-18,286.36499,286.36499,254.649994,278.932007,278.932007,2137850000,Ethereum
15-08-18,280.386993,303.589996,280.118988,282.364014,282.364014,1878150000,Ethereum
16-08-18,282.740997,298.476013,280.928009,288.04599,288.04599,1552970000,Ethereum
17-08-18,287.683014,316.170013,287.346008,315.729004,315.729004,1995460000,Ethereum
18-08-18,316.790985,320.446014,286.550995,295.812012,295.812012,1764020000,Ethereum
19-08-18,295.670013,307.097992,291.332001,300.834015,300.834015,1447910000,Ethereum
20-08-18,301.381012,304.372009,273.510986,274.315002,274.315002,1413790000,Ethereum
21-08-18,273.330994,285.970001,273.330994,281.944,281.944,1164120000,Ethereum
22-08-18,281.967987,297.485992,264.997986,271.341003,271.341003,1507660000,Ethereum
23-08-18,271.747986,279.54599,271.089996,277.104004,277.104004,1271160000,Ethereum
24-08-18,278.110992,283.302002,273.859985,282.96701,282.96701,1450170000,Ethereum
25-08-18,283.281006,283.515015,278.471008,279.645996,279.645996,1208360000,Ethereum
26-08-18,279.524994,279.524994,272.444,275.196991,275.196991,1206650000,Ethereum
27-08-18,275.350006,285.602997,273.649994,285.602997,285.602997,1406790000,Ethereum
28-08-18,286.648987,297.399994,283.571991,296.498993,296.498993,1513350000,Ethereum
29-08-18,296.162994,297.071014,287.286987,289.312012,289.312012,1474460000,Ethereum
30-08-18,289.752991,291.243011,275.210999,284.105011,284.105011,1513100000,Ethereum
31-08-18,284.119995,284.550995,278.513,283.003998,283.003998,1411910000,Ethereum
01-09-18,283.496002,301.144012,283.496002,295.341003,295.341003,1546630000,Ethereum
02-09-18,295.453003,298.686005,290.925995,294.371002,294.371002,1321050000,Ethereum
03-09-18,295.181,295.591003,287.432007,289.259003,289.259003,1394490000,Ethereum
04-09-18,289.296997,291.579987,284.255005,285.722992,285.722992,1554870000,Ethereum
05-09-18,286.045013,288.162994,232.330994,232.330994,232.330994,2390390000,Ethereum
06-09-18,231.647995,231.755005,218.123001,230.214996,230.214996,2097310000,Ethereum
07-09-18,229.535004,233.895996,217.074997,217.203003,217.203003,1678260000,Ethereum
08-09-18,217.912003,220.367004,193.259003,197.951004,197.951004,1517200000,Ethereum
09-09-18,198.384995,207.666,188.306,196.923996,196.923996,1585980000,Ethereum
10-09-18,197.850998,201.882996,189.584,197.078995,197.078995,1502960000,Ethereum
